name,version,api-level,revision,description,obsolete,windowsSize,windowsSHA1,windowsURL,macosxSize,macosxSHA1,macosxURL,linuxSize,linuxSHA1,linuxURL
Sources for Android SDK,,19,2,"Sources for Android SDK, API 19, revision 2",false,21819439,433a1d043ef77561571250e94cb7a0ef24a202e7,https://dl.google.com/android/repository/sources-19_r02.zip,21819439,433a1d043ef77561571250e94cb7a0ef24a202e7,https://dl.google.com/android/repository/sources-19_r02.zip,21819439,433a1d043ef77561571250e94cb7a0ef24a202e7,https://dl.google.com/android/repository/sources-19_r02.zip
Sources for Android SDK,,18,1,"Sources for Android SDK, API 18, revision 1",false,20226735,8b49fdf7433f4881a2bfb559b5dd05d8ec65fb78,https://dl.google.com/android/repository/sources-18_r01.zip,20226735,8b49fdf7433f4881a2bfb559b5dd05d8ec65fb78,https://dl.google.com/android/repository/sources-18_r01.zip,20226735,8b49fdf7433f4881a2bfb559b5dd05d8ec65fb78,https://dl.google.com/android/repository/sources-18_r01.zip
Sources for Android SDK,,17,1,"Sources for Android SDK, API 17, revision 1",false,18976816,6f1f18cd2d2b1852d7f6892df9cee3823349d43a,https://dl.google.com/android/repository/sources-17_r01.zip,18976816,6f1f18cd2d2b1852d7f6892df9cee3823349d43a,https://dl.google.com/android/repository/sources-17_r01.zip,18976816,6f1f18cd2d2b1852d7f6892df9cee3823349d43a,https://dl.google.com/android/repository/sources-17_r01.zip
Sources for Android SDK,,16,2,"Sources for Android SDK, API 16, revision 2",false,17876720,0f83c14ed333c45d962279ab5d6bc98a0269ef84,https://dl.google.com/android/repository/sources-16_r02.zip,17876720,0f83c14ed333c45d962279ab5d6bc98a0269ef84,https://dl.google.com/android/repository/sources-16_r02.zip,17876720,0f83c14ed333c45d962279ab5d6bc98a0269ef84,https://dl.google.com/android/repository/sources-16_r02.zip
Sources for Android SDK,,15,2,"Sources for Android SDK, API 15, revision 2",false,16468746,e5992a5747c9590783fbbdd700337bf0c9f6b1fa,https://dl.google.com/android/repository/sources-15_r02.zip,16468746,e5992a5747c9590783fbbdd700337bf0c9f6b1fa,https://dl.google.com/android/repository/sources-15_r02.zip,16468746,e5992a5747c9590783fbbdd700337bf0c9f6b1fa,https://dl.google.com/android/repository/sources-15_r02.zip
Sources for Android SDK,,14,1,"Sources for Android SDK, API 14, revision 1",true,16152383,eaf4ed7dcac46e68516a1b4aa5b0d9e5a39a7555,https://dl.google.com/android/repository/sources-14_r01.zip,16152383,eaf4ed7dcac46e68516a1b4aa5b0d9e5a39a7555,https://dl.google.com/android/repository/sources-14_r01.zip,16152383,eaf4ed7dcac46e68516a1b4aa5b0d9e5a39a7555,https://dl.google.com/android/repository/sources-14_r01.zip
Android Support Library,,,19.1,"Android Support Library, revision 19.1",false,5138974,9d881bfc3137f2e416c94eb7509af94ea007e074,https://dl.google.com/android/repository/extras/intel/support_r19.1.zip,5138974,9d881bfc3137f2e416c94eb7509af94ea007e074,https://dl.google.com/android/repository/extras/intel/support_r19.1.zip,5138974,9d881bfc3137f2e416c94eb7509af94ea007e074,https://dl.google.com/android/repository/extras/intel/support_r19.1.zip
Google APIs,,3,3,Android + Google APIs,true,34908058,1f92abf3a76be66ae8032257fc7620acbd2b2e3a,https://dl.google.com/android/repository/google_apis-3-r03.zip,34908058,1f92abf3a76be66ae8032257fc7620acbd2b2e3a,https://dl.google.com/android/repository/google_apis-3-r03.zip,34908058,1f92abf3a76be66ae8032257fc7620acbd2b2e3a,https://dl.google.com/android/repository/google_apis-3-r03.zip
Google APIs,,4,2,Android + Google APIs,true,42435735,9b6e86d8568558de4d606a7debc4f6049608dbd0,https://dl.google.com/android/repository/google_apis-4_r02.zip,42435735,9b6e86d8568558de4d606a7debc4f6049608dbd0,https://dl.google.com/android/repository/google_apis-4_r02.zip,42435735,9b6e86d8568558de4d606a7debc4f6049608dbd0,https://dl.google.com/android/repository/google_apis-4_r02.zip
Google APIs,,5,1,Android + Google APIs,true,49123776,46eaeb56b645ee7ffa24ede8fa17f3df70db0503,https://dl.google.com/android/repository/google_apis-5_r01.zip,49123776,46eaeb56b645ee7ffa24ede8fa17f3df70db0503,https://dl.google.com/android/repository/google_apis-5_r01.zip,49123776,46eaeb56b645ee7ffa24ede8fa17f3df70db0503,https://dl.google.com/android/repository/google_apis-5_r01.zip
Google APIs,,6,1,Android + Google APIs,true,53382941,5ff545d96e031e09580a6cf55713015c7d4936b2,https://dl.google.com/android/repository/google_apis-6_r01.zip,53382941,5ff545d96e031e09580a6cf55713015c7d4936b2,https://dl.google.com/android/repository/google_apis-6_r01.zip,53382941,5ff545d96e031e09580a6cf55713015c7d4936b2,https://dl.google.com/android/repository/google_apis-6_r01.zip
Google APIs,,7,1,Android + Google APIs,true,53691339,2e7f91e0fe34fef7f58aeced973c6ae52361b5ac,https://dl.google.com/android/repository/google_apis-7_r01.zip,53691339,2e7f91e0fe34fef7f58aeced973c6ae52361b5ac,https://dl.google.com/android/repository/google_apis-7_r01.zip,53691339,2e7f91e0fe34fef7f58aeced973c6ae52361b5ac,https://dl.google.com/android/repository/google_apis-7_r01.zip
Google APIs,,8,2,Android + Google APIs,true,59505020,3079958e7ec87222cac1e6b27bc471b27bf2c352,https://dl.google.com/android/repository/google_apis-8_r02.zip,59505020,3079958e7ec87222cac1e6b27bc471b27bf2c352,https://dl.google.com/android/repository/google_apis-8_r02.zip,59505020,3079958e7ec87222cac1e6b27bc471b27bf2c352,https://dl.google.com/android/repository/google_apis-8_r02.zip
Google APIs,,9,2,Android + Google APIs,true,63401546,78664645a1e9accea4430814f8694291a7f1ea5d,https://dl.google.com/android/repository/google_apis-9_r02.zip,63401546,78664645a1e9accea4430814f8694291a7f1ea5d,https://dl.google.com/android/repository/google_apis-9_r02.zip,63401546,78664645a1e9accea4430814f8694291a7f1ea5d,https://dl.google.com/android/repository/google_apis-9_r02.zip
Google APIs,,10,2,Android + Google APIs,true,65781578,cc0711857c881fa7534f90cf8cc09b8fe985484d,https://dl.google.com/android/repository/google_apis-10_r02.zip,65781578,cc0711857c881fa7534f90cf8cc09b8fe985484d,https://dl.google.com/android/repository/google_apis-10_r02.zip,65781578,cc0711857c881fa7534f90cf8cc09b8fe985484d,https://dl.google.com/android/repository/google_apis-10_r02.zip
Google APIs,,11,1,Android + Google APIs,true,83477179,5eab5e81addee9f3576d456d205208314b5146a5,https://dl.google.com/android/repository/google_apis-11_r01.zip,83477179,5eab5e81addee9f3576d456d205208314b5146a5,https://dl.google.com/android/repository/google_apis-11_r01.zip,83477179,5eab5e81addee9f3576d456d205208314b5146a5,https://dl.google.com/android/repository/google_apis-11_r01.zip
Google APIs,,12,1,Android + Google APIs,true,86099835,e9999f4fa978812174dfeceec0721c793a636e5d,https://dl.google.com/android/repository/google_apis-12_r01.zip,86099835,e9999f4fa978812174dfeceec0721c793a636e5d,https://dl.google.com/android/repository/google_apis-12_r01.zip,86099835,e9999f4fa978812174dfeceec0721c793a636e5d,https://dl.google.com/android/repository/google_apis-12_r01.zip
Google APIs,,13,1,Android + Google APIs,true,88615525,3b153edd211c27dc736c893c658418a4f9041417,https://dl.google.com/android/repository/google_apis-13_r01.zip,88615525,3b153edd211c27dc736c893c658418a4f9041417,https://dl.google.com/android/repository/google_apis-13_r01.zip,88615525,3b153edd211c27dc736c893c658418a4f9041417,https://dl.google.com/android/repository/google_apis-13_r01.zip
Google APIs,,14,2,Android + Google APIs,true,106533714,f8eb4d96ad0492b4c0db2d7e4f1a1a3836664d39,https://dl.google.com/android/repository/google_apis-14_r02.zip,106533714,f8eb4d96ad0492b4c0db2d7e4f1a1a3836664d39,https://dl.google.com/android/repository/google_apis-14_r02.zip,106533714,f8eb4d96ad0492b4c0db2d7e4f1a1a3836664d39,https://dl.google.com/android/repository/google_apis-14_r02.zip
Google APIs,,15,3,Android + Google APIs,false,106624396,d0d2bf26805eb271693570a1aaec33e7dc3f45e9,https://dl.google.com/android/repository/google_apis-15_r03.zip,106624396,d0d2bf26805eb271693570a1aaec33e7dc3f45e9,https://dl.google.com/android/repository/google_apis-15_r03.zip,106624396,d0d2bf26805eb271693570a1aaec33e7dc3f45e9,https://dl.google.com/android/repository/google_apis-15_r03.zip
